Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_45_38,VPWR,li1,23.2300,133.2800,1.799756
FILLER_45_30,VPWR,li1,21.1600,133.2800,1.799796
FILLER_45_18,VPWR,li1,16.5600,133.2800,1.799793
FILLER_45_6,VPWR,li1,11.0400,133.2800,1.799793
FILLER_44_301,VPWR,li1,144.2100,133.2800,1.798310
FILLER_44_279,VPWR,li1,134.3200,133.2800,1.798324
FILLER_44_271,VPWR,li1,132.0200,133.2800,1.798329
FILLER_44_260,VPWR,li1,125.3500,133.2800,1.798355
FILLER_44_251,VPWR,li1,121.2100,133.2800,1.798385
FILLER_44_243,VPWR,li1,119.1400,133.2800,1.798403
FILLER_44_239,VPWR,li1,115.6900,133.2800,1.798450
FILLER_44_233,VPWR,li1,114.0800,133.2800,1.798450
FILLER_44_221,VPWR,li1,109.9400,133.2800,1.798503
FILLER_44_209,VPWR,li1,104.4200,133.2800,1.798547
FILLER_44_197,VPWR,li1,98.9000,133.2800,1.798607
FILLER_44_195,VPWR,li1,95.4500,133.2800,1.798642
FILLER_44_183,VPWR,li1,92.4600,133.2800,1.798676
FILLER_44_171,VPWR,li1,86.9400,133.2800,1.798755
FILLER_44_141,VPWR,li1,71.0700,133.2800,1.798968
FILLER_44_124,VPWR,li1,64.4000,133.2800,1.799055
FILLER_44_105,VPWR,li1,54.5100,133.2800,1.799215
FILLER_44_97,VPWR,li1,51.9800,133.2800,1.799253
FILLER_44_85,VPWR,li1,47.3800,133.2800,1.799329
FILLER_44_80,VPWR,li1,43.2400,133.2800,1.799397
FILLER_44_65,VPWR,li1,36.8000,133.2800,1.799508
FILLER_44_53,VPWR,li1,32.6600,133.2800,1.799612
FILLER_44_27,VPWR,li1,18.1700,133.2800,1.799794
FILLER_44_15,VPWR,li1,13.3400,133.2800,1.799793
FILLER_44_3,VPWR,li1,9.6600,133.2800,1.799793
FILLER_43_301,VPWR,li1,144.2100,127.8400,1.798709
FILLER_43_293,VPWR,li1,142.1400,127.8400,1.798709
FILLER_43_281,VPWR,li1,137.5400,127.8400,1.798709
FILLER_43_277,VPWR,li1,133.6300,127.8400,1.798709
FILLER_43_265,VPWR,li1,130.1800,127.8400,1.798709
FILLER_43_246,VPWR,li1,120.5200,127.8400,1.798714
FILLER_43_223,VPWR,li1,108.3300,127.8400,1.798745
FILLER_43_211,VPWR,li1,105.3400,127.8400,1.798766
FILLER_43_199,VPWR,li1,99.8200,127.8400,1.798799
FILLER_43_173,VPWR,li1,85.3300,127.8400,1.798897
FILLER_43_169,VPWR,li1,84.1800,127.8400,1.798914
FILLER_43_162,VPWR,li1,81.4200,127.8400,1.798934
FILLER_43_151,VPWR,li1,75.4400,127.8400,1.798991
FILLER_43_122,VPWR,li1,62.5600,127.8400,1.799139
FILLER_43_101,VPWR,li1,52.4400,127.8400,1.799273
FILLER_43_93,VPWR,li1,50.1400,127.8400,1.799304
FILLER_43_68,VPWR,li1,37.0300,127.8400,1.799508
FILLER_43_57,VPWR,li1,32.2000,127.8400,1.799605
FILLER_43_52,VPWR,li1,30.3600,127.8400,1.799642
FILLER_43_25,VPWR,li1,17.4800,127.8400,1.799777
FILLER_43_11,VPWR,li1,10.8100,127.8400,1.799771
FILLER_43_3,VPWR,li1,8.7400,127.8400,1.799771
FILLER_42_301,VPWR,li1,144.2100,127.8400,1.798709
FILLER_42_289,VPWR,li1,141.2200,127.8400,1.798709
FILLER_42_277,VPWR,li1,135.7000,127.8400,1.798709
FILLER_42_265,VPWR,li1,130.1800,127.8400,1.798709
FILLER_42_253,VPWR,li1,124.6600,127.8400,1.798710
FILLER_42_248,VPWR,li1,120.5200,127.8400,1.798714
FILLER_42_236,VPWR,li1,116.8400,127.8400,1.798719
FILLER_42_224,VPWR,li1,111.3200,127.8400,1.798729
FILLER_42_220,VPWR,li1,106.9500,127.8400,1.798755
FILLER_42_206,VPWR,li1,101.2000,127.8400,1.798781
