net,length_um
net197,9.18µm
net169,9.14µm
wr_gray_sync1\[1\],9.1µm
_133_,9.005µm
_031_,8.985µm
_117_,8.985µm
rd_data[3],8.96µm
rd_data[5],8.96µm
net148,8.94µm
mem\[6\]\[3\],8.93µm
_044_,8.905µm
_213_,8.9µm
mem\[5\]\[2\],8.9µm
_136_,8.84µm
_039_,8.785µm
mem\[13\]\[7\],8.78µm
mem\[5\]\[5\],8.74µm
_120_,8.725µm
wr_data[3],8.72µm
wr_data[4],8.72µm
wr_data[5],8.72µm
net200,8.66µm
rd_bin_sync\[4\],8.63µm
net5,8.56µm
net203,8.56µm
_236_,8.54µm
net1,8.48µm
net179,8.48µm
aempty,8.47µm
_042_,8.445µm
net190,8.44µm
wr_gray_sync1\[3\],8.4µm
_204_,8.38µm
_273_,8.34µm
_156_,8.32µm
_184_,8.32µm
mem\[1\]\[6\],8.32µm
mem\[8\]\[5\],8.32µm
net128,8.3µm
wr_bin_next\[3\],8.28µm
net3,8.26µm
mem\[7\]\[4\],8.24µm
_131_,8.225µm
_143_,8.16µm
_132_,8.155µm
_224_,8.1µm
net26,8.1µm
_111_,8.065µm
net173,8.06µm
_017_,8.035µm
_122_,8.025µm
_187_,7.98µm
_127_,7.935µm
mem\[8\]\[3\],7.9µm
aempty_threshold[4],7.89µm
mem\[13\]\[3\],7.86µm
net88,7.86µm
net103,7.84µm
_060_,7.805µm
_130_,7.695µm
_191_,7.68µm
_176_,7.64µm
_275_,7.64µm
mem\[8\]\[2\],7.64µm
wr_bin_next\[1\],7.64µm
_115_,7.605µm
_070_,7.565µm
_144_,7.46µm
mem\[8\]\[7\],7.4µm
_083_,7.385µm
_103_,7.385µm
_040_,7.34µm
rd_data[1],7.33µm
_142_,7.32µm
mem\[4\]\[1\],7.28µm
net82,7.24µm
mem\[5\]\[3\],7.2µm
_096_,7.145µm
_266_,7.14µm
wr_data[2],7.13µm
net97,7.1µm
net157,7.1µm
net163,7.1µm
net193,7.1µm
_168_,7.08µm
_241_,7.08µm
_182_,7µm
_076_,6.985µm
mem\[12\]\[6\],6.98µm
net115,6.96µm
net149,6.96µm
net164,6.96µm
_146_,6.94µm
net140,6.9µm
_027_,6.885µm
net101,6.84µm
net205,6.84µm
_062_,6.825µm
_013_,6.805µm
_151_,6.76µm
_280_,6.76µm
_037_,6.705µm
_038_,6.705µm
_066_,6.705µm
_082_,6.705µm
_061_,6.695µm
_045_,6.685µm
_018_,6.645µm
mem\[3\]\[5\],6.62µm
net106,6.54µm
_035_,6.525µm
net100,6.5µm
net172,6.5µm
net184,6.5µm
mem\[15\]\[6\],6.48µm
rd_data[4],6.45µm
net95,6.44µm
wr_bin_next\[2\],6.38µm
_009_,6.365µm
_089_,6.365µm
_093_,6.365µm
_071_,6.355µm
_008_,6.305µm
_050_,6.305µm
_207_,6.26µm
wr_gray\[3\],6.26µm
_030_,6.185µm
_036_,6.185µm
_000_,6.18µm
_141_,6.18µm
rd_bin\[2\],6.16µm
net6,6.14µm
net155,6.14µm
_057_,6.085µm
_205_,6.04µm
mem\[13\]\[5\],6.02µm
net79,6.02µm
_065_,6.015µm
_123_,6.005µm
_011_,5.965µm
_015_,5.965µm
rd_bin\[0\],5.92µm
arst_n,5.85µm
_164_,5.84µm
_258_,5.84µm
mem\[4\]\[2\],5.84µm
net142,5.8µm
net168,5.72µm
wr_data[6],5.63µm
_229_,5.6µm
_048_,5.555µm
_058_,5.545µm
net83,5.52µm
_034_,5.505µm
rd_gray\[0\],5.5µm
net93,5.5µm
_026_,5.425µm
_172_,5.38µm
_199_,5.38µm
mem\[9\]\[5\],5.38µm
net170,5.38µm
_003_,5.34µm
_025_,5.305µm
_053_,5.305µm
_056_,5.265µm
wr_bin_next\[0\],5.26µm
net8,5.22µm
net9,5.22µm
net130,5.22µm
_283_,5.16µm
_052_,5.135µm
_075_,5.135µm
net135,5.12µm
rd_data[2],5.07µm
rd_data[7],5.07µm
_010_,5.045µm
_029_,4.985µm
_104_,4.965µm
wr_data[7],4.95µm
_064_,4.925µm
net10,4.92µm
net158,4.92µm
_225_,4.88µm
_271_,4.88µm
rd_gray_sync1\[0\],4.88µm
_085_,4.845µm
aempty_threshold[0],4.83µm
rd_clk,4.83µm
_196_,4.82µm
net96,4.8µm
net112,4.8µm
net125,4.8µm
_077_,4.725µm
_161_,4.68µm
_201_,4.68µm
net104,4.66µm
net107,4.66µm
net23,4.65µm
_125_,4.625µm
afull,4.61µm
_006_,4.58µm
rd_bin_next\[3\],4.58µm
_227_,4.56µm
aempty_threshold[1],4.49µm
wr_data[1],4.49µm
_174_,4.48µm
afull_next,4.46µm
_100_,4.435µm
wr_gray_sync1\[4\],4.42µm
_021_,4.385µm
_079_,4.385µm
mem\[0\]\[6\],4.34µm
net117,4.34µm
net150,4.34µm
_099_,4.265µm
net194,4.24µm
_206_,4.22µm
mem\[12\]\[7\],4.22µm
mem\[4\]\[5\],4.22µm
rd_bin_next\[4\],4.22µm
net119,4.2µm
net127,4.2µm
_016_,4.165µm
_067_,4.165µm
_084_,4.165µm
afull_threshold[4],4.15µm
rd_gray\[1\],4.12µm
_147_,4µm
aempty_next,4µm
net206,4µm
_167_,3.99µm
_237_,3.98µm
_098_,3.975µm
_022_,3.925µm
_023_,3.925µm
_049_,3.925µm
_054_,3.925µm
_059_,3.925µm
_074_,3.925µm
_087_,3.925µm
_233_,3.9µm
empty_next,3.9µm
_162_,3.88µm
_232_,3.88µm
net111,3.88µm
net124,3.88µm
net126,3.88µm
_092_,3.805µm
net90,3.78µm
net91,3.78µm
net146,3.78µm
